id,location,start_time,end_time,instructor,instance_id,name,track,culture,topic_and_subtopic,adult_only,description_book,description_web,duration,fee_itemization,handout_fee,handout_limit,material_fee,material_limit,repeat_count,updated_at
15,A&S 14,2013-07-31 15:00:00 -0400,2013-07-31 17:00:00 -0400,Baroness Betha Symonds,26,Beginning Viking Wire Weaving,Pennsic University,European,,false,"Students will learn to make intricate chains in the manner of the Vikings and other cultures, without need for heat or complicated tools.","This class will teach beginning students to make intricate chains in the manner of the Vikings and other ancient cultures, without the need for heat or complicated tools. With the techniques presented, you will learn to create items like the ones found in Viking burials and treasure hoards across the Nordic countries dating from the 9th century to the late 12th century. Wire chains made in this fashion have also been discovered in the British Isles (875 AD) and in the Roman, Greek and Byzantine civilizations from the 4th century BC to the 1st century AD. Timeless items can be created that are still beautiful and wearable today. If you have needle-nose pliers and wire cutters, please bring them. If you need glasses for close or small work, please bring them. The fee for the class includes the materials needed to complete the leather cord necklace. To view this unique jewelry, please visit www.AncientWire.com/book.htm",2.0,"wire, pencil, tape, leather",1.0,,2.0,10,3,2013-04-23 16:19:59 -0400
459,Amphitheater,2013-07-31 15:00:00 -0400,2013-07-31 17:00:00 -0400,Lady Avelina del Dolce,709,A  Cross-Curricular Study of *Commedia dell' Arte*,Bardic,European,,false,"This class will analyze *commedia dell' arte* in scope with other performing arts of the Renaissance such as courtly dance, theater, and bardic arts.","Have you ever wondered how *commedia dell' arte* affected or influenced other performing arts of the Renaissance? Caroso, an Italian dance master, and other artisans alluded to *commedia dell' arte*. This class will feature related research and roundtable discussion about *commedia dell' arte* in scope with other performing arts of the Renaissance.",2.0,"",,,,,1,2013-04-23 16:20:01 -0400
397,Battlefield,2013-07-31 15:00:00 -0400,2013-07-31 17:00:00 -0400,Feelance Academy Press,614,FAP: German Medieval *Messer*,Pennsic University,European,,false,Freelance Academy Press presents German medieval *Messer*.,Freelance Academy Press presents German medieval *Messer*.,2.0,"",,,,,1,2013-04-13 23:20:26 -0400
665,Casa Bardici,2013-07-31 15:00:00 -0400,2013-07-31 16:00:00 -0400,Lady Margherita Battistina,919,Dancing at the Villa: *Chigi* Dances,European Dance,European,,false,Come learn two dances from an early source of 16th-century Italian dances: the *Chigi* manuscripts! For all levels of dancers.,"Come learn two dances from an early source of 16th-century Italian dances: the *Chigi* manuscripts! For all levels of dancers. Dances: *Rose E Viole, Spagnioletta*.",1.0,"",,,,,1,2013-04-17 05:31:37 -0400
760,Dance Tent,2013-07-31 15:00:00 -0400,2013-07-31 16:00:00 -0400,THL Henry of Maldon,1113,Beginner Dance: Bransles,European Dance,European,,false,"Never danced before? No problem! This class will start with basic steps and patterns, and then introduce you to fun bransles from 16th-C France.","Never danced before? No problem! This class will start with basic steps and patterns, and then introduce you to fun bransles from 16th-C France.",1.0,"",,,,,2,2013-04-22 21:06:00 -0400
608,Games Tent,2013-07-31 15:00:00 -0400,2013-07-31 16:00:00 -0400,Lady Naomi bat Avraham,884,Laugh and Lie Down,Games,"",,false,A 16th-century card game. Fun and easy for children and adults.,A 16th-century card game. Fun and easy for children and adults.,1.0,"",,,,,1,2013-04-23 16:19:58 -0400
372,Livonia Smithery (170),2013-07-31 15:00:00 -0400,2013-07-31 16:00:00 -0400,Lord T W,579,Advanced *Repoussé* & Chasing ,Pennsic University,"",,true,"Intro to pitch block working, forming, plus tool and hammer use. Produce a copper letter amulet.","Intro to pitch block working, forming, plus tool and hammer use. Produce a copper letter amulet.",1.0,hand out,5.0,12,,,5,2013-04-17 14:23:27 -0400
211,New PA Tent,2013-07-31 15:00:00 -0400,2013-07-31 16:00:00 -0400,Mistress Arianna of Wynthrope,306,"Vocal Techniques for Singers, Bards & Storytellers",Performing Arts,European,,false,"Learn proper breathing, vocal exercises, projection techniques, and how to care for your voice.","Learn proper breathing, vocal exercises, projection techniques, and how to care for your voice. Singing and public speaking involve your whole body - learn to do it the right way so you can do it for a lifetime!",1.0,"",,15,,15,2,2013-04-13 12:45:13 -0400
230,Pine Box Traders (192),2013-07-31 15:00:00 -0400,2013-07-31 16:00:00 -0400,THL Egill the Loomwright,356,Kumihimo Basics,Pennsic University,"",,false,Kumihimo: cord braiding on a disk.,Kumihimo: cord braiding on a disk. Make a basic round cord. Disk & string provided; take your work home with you.,1.0,"Disk, bobbins, string",,,6.0,,3,2013-04-23 16:20:01 -0400
69,A&S 3,2013-07-31 16:00:00 -0400,2013-07-31 17:00:00 -0400,Aibhilin kennari fra Skye,104,Known World MoAS Meeting,Pennsic University,"",,false,"All MoAS of the Known World, please attend if you are able so we can meet each other, chat, and talk about issues and best practices.","All MoAS of the Known World, please attend if you are able so we can meet each other, chat, and talk about issues and best practices.  Anyone else who is interested may also attend.",1.0,"",,,,,1,2013-04-23 16:19:59 -0400
125,A&S 7,2013-07-31 16:00:00 -0400,2013-07-31 18:00:00 -0400,Mistress Ignacia la Ciega,186,East Kingdom Exchequers Roundtable ,Pennsic University,Other,,false,"This is an opportunity for Eastern Exchequers to meet, discuss concerns or issues and ask questions. Training will be available.","This will be an opportunity for Exchequers of the East to meet each other, discuss concerns or issues and ask questions. Training will be available, if the need arises.",2.0,"",,,,,1,2013-04-09 19:57:33 -0400
618,A&S 9,2013-07-31 16:00:00 -0400,2013-07-31 18:00:00 -0400,Lord Llywelyn Glyndyverdwy,896,Bardic Collegium: Competition and Challenges,Bardic,"",,false,Competition and challenges are a fact of SCA life. We'll discuss formal A&S faires and structured challenges and competitions.,"We spend most of our effort at the Collegium making nice, friendly places for bards to sing ""Kumbaya"" together. But competition and challenges are a fact of SCA life. So let's discuss formal A&S faires and structured challenges and competitions - how to run them, how to participate in them.",2.0,"",,,,,1,2013-04-23 16:20:01 -0400
150,A&S 12,2013-07-31 16:00:00 -0400,2013-07-31 17:00:00 -0400,THL Sunnifa Gunnarsdottir,223,Viking Age Furniture: The Archeological Evidence,Pennsic University,European,,false,"A survey of the major finds of Viking Age furniture, with help to interpret the finds to make accurate reproductions. 45-page handout.","A brief survey of the major finds of Viking Age furniture, with an emphasis on interpreting the finds to make reasonably accurate reproductions. We will cover digs at Norse sites such as Oseberg, Birka, Dublin, Hedeby, Staraya Ladoga, etc. In addition, we will look at artifacts from neighboring areas. There will be a 45-page handout available.",1.0,45-page handout for $5,5.0,,,,1,2013-04-07 13:58:59 -0400
274,A&S 13,2013-07-31 16:00:00 -0400,2013-07-31 17:00:00 -0400,Master Cariadoc,518,Period Jewelry You Can Make,Pennsic University,European,,false,A class on how to make simple period jewelry.,"",1.0,"",,30,,,1,2013-04-11 12:46:36 -0400
560,La Familia Gladiatoria (W14),2013-07-31 16:00:00 -0400,2013-07-31 18:30:00 -0400,Lady Nisaa Karahisari,783,The Turkish Bath,Pennsic University,Middle Eastern,,false,"Pennsic is our vacation; why not pamper ourselves? Learn about the history of the Turkish bath, try beauty treatments & desserts. Bring a towel.","Pennsic is our vacation, so why not pamper ourselves? Come learn about the history of the Turkish bath, try out some beauty treatments & sample Turkish desserts. Please bring a towel. For privacy, this is open to self-identified women & girls only.",2.5,"Henna, beauty supplies, desserts and tea.",,25,2.0,20,1,2013-04-17 05:31:36 -0400
336,Casa Bardicci (E19),2013-07-31 16:00:00 -0400,2013-07-31 17:00:00 -0400,Master Lorenzo Petrucci,492,Dancing at the Villa: *Anello* and *Amoroso*,European Dance,European,,false,Join us at the marvelous Casa Bardicci to learn two simple and elegant 15th-C Italian dances: *Anello* and *Amoroso*.,Join us at the marvelous Casa Bardicci to learn two simple and elegant 15th-century Italian dances: *Anello* and *Amoroso*.,1.0,"",,,,,1,2013-04-23 16:20:01 -0400
167,Dance Tent,2013-07-31 16:00:00 -0400,2013-07-31 17:00:00 -0400,Lord Maurin Lessault,250,Cascarde *Chiara Stella*,European Dance,European,,false,*Chiara Stella* is a fun and lively dance from Fabritio Caroso. Students should be familiar with 16th-C Italian dance steps.,"",1.0,"",,,,,2,2013-04-16 21:21:48 -0400
589,Middle Eastern Tent,2013-07-31 16:00:00 -0400,2013-07-31 17:00:00 -0400,Lady Aliya al Qanunjiyya,859,Arabic Folk Songs,Middle Eastern,Middle Eastern,,false,"Learn some songs from Arabic-speaking countries, including lyrics, pronunciation, meaning, melody and rhythm.","Learn songs of various regions of the Arab world. All aspects of the songs will be covered, including lyrics, pronunciation, meaning, melody and rhythm. Open to singers (these are folk songs - anyone can sing them!), melody musicians and drummers who understand volume control. Quarter-tone alert: some of the songs will include quarter-tones. In order to be able to play these tunes, you will need to have an instrument capable of playing quarter-tones, such as *oud*, violin, *ney*, or the vocal cords you were born with.",1.0,"",,,,,2,2013-04-23 16:20:00 -0400
210,New PA Tent,2013-07-31 16:00:00 -0400,2013-07-31 17:00:00 -0400,Mistress Arianna of Wynthrope,308,Choral Conducting,Performing Arts,European,,false,"Hands-on training in conducting patterns, cueing, finding & fixing errors, and choral leadership. You will sing & direct with teacher mentoring.","Taught by a past Pennsic Choir director and current director of the Debatable Choir, this class covers conducting patterns, cueing, finding and fixing errors, and choral leadership. Participants will sing and direct the other students in a choral piece, with assistance and advice from the instructor.",1.0,"",,15,,15,2,2013-04-23 16:20:00 -0400
98,A&S 2,2013-07-31 17:00:00 -0400,2013-07-31 18:00:00 -0400,Lada Monguligin,143,Beginner Russian Calligraphy,Pennsic University,Other,,false,The basics of medieval Russian calligraphy. Learn the basics of writing the Old Church Slavonic alphabet.,The basics of medieval Russian calligraphy. Learn the basics of writing the Old Church Slavonic alphabet. There will also be a hand-out for Russian-style English alphabet. The hands-on portion of the class is limited to 15 people.,1.0,"",,15,,,1,2013-04-23 16:20:00 -0400
136,A&S 3,2013-07-31 17:00:00 -0400,2013-07-31 18:00:00 -0400,Erik the Swede,208,Why Knot Know Your Knots?,Pennsic University,Multiple Cultures,,false,"Do you know your knots? Come learn some of the basics that will make your life so much easier - in camp at Pennsic, at home, or anywhere!","Do you know your knots? Come learn some of the basics that will make your life so much easier - in camp at Pennsic, at home, or anywhere! We'll take it slow, and learn the bowline, sheet bend, constrictor, clove hitch, and some others, depending on time. I'll bring ropes for everyone (limited to 30), and we'll get all tied up! You'll leave with some great skills, and enjoy life-long use of ropes and knots. Join us!",1.0,"",,30,,30,1,2013-05-04 10:14:08 -0400
172,A&S 4,2013-07-31 17:00:00 -0400,2013-07-31 18:00:00 -0400,THL Godfrey Thacker,246,Orgainizing a Successful Feast,Pennsic University,Other,,false,"Successful feasts start with planning. How to set-up and organize a feast, lessons learned from a State Dinner, followed by round-table discussion.","Successful feasts start with planning. How to set-up and organize a feast. Instructor will give lessons learned from many feasts, including State Dinner at Pennsic, followed by round-table discussion of what students have seen that works/doesn't work.",1.0,"",,20,,,2,2013-04-23 16:20:00 -0400
192,A&S 6,2013-07-31 17:00:00 -0400,2013-07-31 18:00:00 -0400,Alchamar Mor Taraid,277,"Yes, Virginia, You CAN Build a Yurt",Pennsic University,Other,,true,"Yurts are 18 shades of groovy, but quite expensive. The charming and talented Majester Alchamar will teach you how to build your own. You can do this.","If you're reading this, you probably already know what a yurt is: round, Mongolian-based tents that have no poles, guy lines, and no corners. But in addition to being 18 different shades of groovy, they cost a fair penny to buy. What if I told you that you could trade a bunch of the cash outlay for elbow grease instead? It's true, and I invite to join the class to see how it's done. We'll touch on tools, materials, and techniques, using advanced technical terms like ""... and remember, don't bleed on the saw"". With a decade-and-a-half of yurt-building experience, I'll be your instructor and comic relief. I'm charming, talented, and incredibly handsome. And humble. But seriously, c'mon down, we'll have some fun expanding our list of Things We Can Do.",1.0,The hand-out is just over 20 pages. It costs at least that much to print the things. It might have gone up since last year. But I plan to make free e-mail copies available to those who'd prefer it.,5.0,25,,,2,2013-04-23 16:20:00 -0400
510,A&S 11,2013-07-31 17:00:00 -0400,2013-07-31 18:00:00 -0400,Lord Eleazar ha-Levi,789,Jewish Heraldry and Onomastics,Pennsic University,Multiple Cultures,,false,How to create a period Jewish name and/or device. Covers forms used in different languages plus Jewish symbols used in period heraldry.,"How to create a period Jewish name and/or device. The class will cover forms used in different languages plus Jewish symbols used in period heraldry. The class will cover the evolution of Jewish names over time (and place), as well as Jewish canting arms.",1.0,N/A,5.0,20,,,2,2013-04-15 21:01:12 -0400
490,A&S 12,2013-07-31 17:00:00 -0400,2013-07-31 18:00:00 -0400,Lady Jane Milford,761,Medicine Before a Provable Germ Theory,Pennsic University,European,,false,Learn about the correlation between medicine and disease in late-period England.,"People in late-period England viewed medicine in much the same way as people do today: full of complex theories, new and different types of medication, and sub-specialties that may or may not have actually been helpful. While we can either go to the pharmacist or take over-the-counter medicine, they were able to go to the apothecary or make their own. Come learn a quick overview of late-period English medicine.",1.0,"",,,,,2,2013-04-23 16:20:01 -0400
565,A&S 13,2013-07-31 17:00:00 -0400,2013-07-31 19:00:00 -0400,Baron Kita Jiru Toramassa,835,Dealing with Difficult People,Pennsic University,Other,,false,This class will help you deal with the difficult people you meet in the SCA.,"Learn to deal successfully with difficult people. Sometimes there are difficult people in the SCA, and this class is designed to give you the tools to not only manage, but to be successful in your interactions with even the most difficult people you have to interact with. The instructor is a licensed independent therapist who works with a wide variety of clients including teaching anger management and parenting skills.",2.0,"",,20,,,1,2013-04-15 17:16:24 -0400
16,A&S 14,2013-07-31 17:00:00 -0400,2013-07-31 18:00:00 -0400,Baroness Betha Symonds,29,Viking Knot Ring,Pennsic University,European,,false,"Learn to make a Viking knot ring. If you have your own ring mandrel & pliers, please bring them.","Learn to make a Viking knot ring. There are several different types of knot rings throughout history. The one this class will focus on has been dated to the 9th - 11th century and comes from the Viking culture. If you have your own ring mandrel, chain nose, needle-nose pliers or round-nose pliers, please bring them. If you need glasses for close or small work, please bring them. An image of the ring can be found at www.ancientwire.com/AncientWireII.htm.",1.0,wire,1.0,12,1.0,12,1,2013-04-23 16:20:00 -0400
334,Battlefield,2013-07-31 17:00:00 -0400,2013-07-31 18:00:00 -0400,Master Christian Fournier,490,German Combatives: Wrestling Techniques,Pennsic University,European,,false,"Learn leg-hooks, hip-throws, locks, and winds from Ott, Lew, and von Auerswald. Falling down will be optional, but recommended (dress appropriately).","",1.0,"",,,,,1,2013-04-16 14:57:39 -0400
